epoch,accuracy,loss
0,0.98213035,0.0945939150330326
1,0.98297846,0.08317990726782606
0,0.97549134,0.10421507947948126
1,0.98297846,0.08290580197406962
0,0.8333234,0.38215661618378644
1,0.9717643,0.11125609908326108
0,0.98052174,0.09548873748906152
1,0.98297846,0.08402193477962913
0,0.680861,1.2268641764035724
1,0.7021233,1.1510588676905347
0,0.07264857,2.988087181415048
1,0.09274099,2.747488395083882
0,0.15614764,2.60750279568962
1,0.18866986,2.4967235757554866
2,0.2597976,2.3012264249519485
3,0.32647988,2.164770467301842
4,0.38245788,1.9720463882443164
5,0.43905008,1.8306567251375472
6,0.49502808,1.6823147743012954
7,0.5437237,1.5203959658048145
8,0.59627986,1.3972073294881298
9,0.622865,1.3151064946494428
0,0.82729876,0.5400727357480903
1,0.8624824,0.47009044327757027
2,0.8723678,0.4408483700456327
3,0.88120025,0.42177948171197044
4,0.8852656,0.40732890250950976
5,0.89491695,0.3796582428860937
6,0.9011465,0.36070583928655353
7,0.9104176,0.32623197828782535
8,0.9205662,0.2944536875931448
9,0.924573,0.2852472513869438
0,0.980668,0.04643929958379378
1,0.9855522,0.03571708773083205
2,0.9865758,0.03268835031430834
3,0.98774564,0.030655086225797115
4,0.9886231,0.029291419073211443
5,0.9892957,0.027487620467866316
6,0.9898514,0.026929211345665272
7,0.9903194,0.02552986718651331
8,0.99105054,0.02500622495146415
9,0.9917817,0.022485228567991726
0,0.35019886,4.337142592570673
1,0.4241343,1.9089989665482554
2,0.5789074,1.4401115718000004
3,0.6753919,1.1243764629616295
4,0.73774564,0.9408325912560753
5,0.784862,0.8033277487236733
6,0.8108329,0.6915383319003062
7,0.83449346,0.6381485661514413
8,0.84589964,0.5727059693521549
9,0.8640325,0.5200427482937492
0,0.87912375,0.47839955079587587
1,0.88664013,0.44260089187941676
2,0.8844467,0.4850744264599966
3,0.8813465,0.4624671083179886
4,0.89798784,0.4163720859482686
0,0.9137518,0.3373004019818895
1,0.9222625,0.31078521902906103
2,0.9315337,0.27103072763398306
3,0.92740995,0.290907885908777
4,0.9373245,0.25391661099529317
5,0.93255734,0.27690819513445364
6,0.93518955,0.2563099267164304
7,0.92922324,0.3232484583987895
8,0.91922086,0.33298708119618786
9,0.9384651,0.24565304360787937
10,0.93855286,0.250507236424586
11,0.9219408,0.3193573946187514
12,0.9454551,0.21955999104867424
13,0.9560131,0.1758190679739682
14,0.9625936,0.1470329096883102
0,0.8484441,1.7400282171112953
1,0.66758305,2.704174142103393
2,0.6438348,2.215082598749895
3,0.6717653,1.8823934808987068
4,0.7405826,1.1704039131899164
5,0.7917934,0.9070784655649339
6,0.82881963,0.736707259152585
7,0.8232043,0.800885831020253
8,0.8546151,0.6399874078919593
9,0.87660855,0.5378744420333982
10,0.87924075,0.6064506717502136
11,0.8487658,0.7310551207244159
12,0.86619675,0.6337849158143462
13,0.88702035,0.49239064612409306
14,0.91480464,0.3888531461415597
0,0.94306755,0.28551597648229016
1,0.9621839,0.18831906526697795
2,0.9736983,0.13270870051813627
3,0.98198456,0.09092916423156724
4,0.98577803,0.09010296189939042
5,0.9743529,0.14618876305131956
6,0.99065757,0.050619144747612844
7,0.99339485,0.03466654920608871
8,0.9918923,0.08016464317489924
9,0.9929188,0.034950370713465725
10,0.99611723,0.018146871969967872
11,0.9973966,0.012664683242805418
12,0.9969801,0.014495953033967003
13,0.9981702,0.008258528894851253
14,0.99604285,0.021276402315558936
0,0.019215021,6.724923417045376
1,0.017021526,5.27709676678849
2,0.017021526,5.202158931320272
3,0.017138513,5.113171661365908
4,0.017372485,5.273481043870615
5,0.017372485,5.003044271934908
6,0.020180158,4.9083006710692665
7,0.028778661,4.845657749423146
8,0.041149978,4.777743888685064
9,0.05776205,4.579422852412305
10,0.068115346,4.447864946676963
11,0.08905592,4.463040962111019
12,0.10230463,4.245878474799952
13,0.12918226,4.1035666267727935
14,0.15029831,4.054730037383292
0,0.66755384,1.2386138883075481
1,0.64798784,1.1690544879964344
2,0.64594054,1.1358062500551616
3,0.6708587,1.1138671559460764
4,0.6808025,1.0864619804327462
5,0.6900737,1.0618191836458475
6,0.6959523,1.0232871983254352
7,0.7102831,0.9890186035509666
8,0.7179165,0.9624334964822764
9,0.73675126,0.9131943303743045
10,0.7504094,0.8811413911517725
11,0.7632195,0.8321462875218154
12,0.776088,0.7983378219275719
13,0.78687996,0.759762652593137
14,0.8023222,0.7306862480748422
0,0.5498362,1.3567714658737964
1,0.58689165,1.2923000877061541
2,0.59200984,1.2582885878257346
3,0.60408866,1.2319191906306584
4,0.61467594,1.1965700630438512
5,0.6308201,1.17105127530583
6,0.644449,1.1248424129057666
7,0.6651263,1.0967586960924192
8,0.67240876,1.0631770777141707
9,0.69548434,1.0084282132244773
10,0.70785564,0.9713043715328913
11,0.7301416,0.9186554998943863
12,0.74131376,0.8838755536186441
13,0.758891,0.8441314485236117
14,0.76684606,0.8133359824071491
0,0.5621198,1.35837471058743
1,0.6052878,1.2920226288447745
2,0.6016905,1.2556325109151685
3,0.6152609,1.220134039886669
4,0.6215196,1.1950556983753766
5,0.6369911,1.1575836083099114
6,0.6500059,1.1284766274412408
7,0.6748655,1.0723636248016055
8,0.68156296,1.0474610033178782
9,0.700427,0.9991201591278327
0,0.57589495,1.3637585795066542
1,0.5953732,1.284848916505158
2,0.6004036,1.260068034358361
3,0.61309665,1.2280670762790744
4,0.62891906,1.196969367007633
0,0.53843004,1.3706134197258146
1,0.5700164,1.2961462868667815
2,0.5789951,1.2665253178359026
3,0.58700866,1.2359531409585232
4,0.60131025,1.2022816411415216
5,0.620964,1.1674501303832665
6,0.6272227,1.1387331911062435
7,0.64757836,1.0958272321398117
8,0.66840196,1.060159961463318
9,0.68284976,1.0125362450186344
10,0.7037319,0.9683154392264047
11,0.71703905,0.9288490052392927
12,0.73631257,0.8809654159113158
13,0.74590546,0.8439896312691741
14,0.760558,0.7928694273159083
0,0.775737,0.7675425905915597
1,0.7923783,0.7184292968610109
0,0.57463735,1.3454274489401823
1,0.5914249,1.280375207767804
2,0.6091191,1.2509901679330582
3,0.5999064,1.2383787259738412
4,0.6082417,1.2047220125818816
5,0.6207008,1.1855552051326188
6,0.62187064,1.1569416457068071
7,0.6514097,1.121339102672691
8,0.67009825,1.0837596361209396
9,0.6840489,1.0438215438090004
0,0.56328964,1.3714645495328828
1,0.6153194,1.2848350816294307
2,0.61227775,1.2521695913568271
3,0.6176591,1.2241747065834705
4,0.63298434,1.1944298493158583
0,0.96089727,0.13008851921112854
1,0.98297846,0.08483247771856119
2,0.98297846,0.08355683664452226
3,0.98297846,0.08225941589668918
4,0.98297846,0.08127098660960215
0,0.98297846,0.08030654496514833
1,0.98297846,0.0788938318896528
2,0.98297846,0.07759695256684672
3,0.98297846,0.07625987234126182
4,0.983037,0.074737158916686
0,0.98292,0.09166818359453482
1,0.98297846,0.08434794252229769
2,0.98297846,0.08261471112893051
3,0.98297846,0.08120314581922194
4,0.98297846,0.08034896344876581
0,0.5844642,1.3565097484017679
1,0.58367455,1.2769246131049232
2,0.61090314,1.2407066168008172
3,0.6066331,1.2130342576257052
4,0.627486,1.1886801786797454
0,0.69715136,1.869261265798155
1,0.80463266,1.8448366216084473
2,0.7748889,1.828486442074326
3,0.79106224,1.8297275009211615
4,0.8392899,1.8229628249751835
0,0.6083002,1.8732650461992373
1,0.7375117,1.851504807654641
2,0.7905358,1.839167560372723
3,0.7859441,1.8271466117835122
4,0.8196069,1.8164800017772291
5,0.85496604,1.8126937766386406
6,0.86259943,1.7992601172042384
7,0.8735669,1.7955807547181302
8,0.8777492,1.8041354322698793
9,0.879738,1.7955337973955667
10,0.8828381,1.7895389008285651
11,0.89187527,1.7784523656892481
12,0.8792115,1.771716953275719
13,0.89813405,1.7650736082148262
14,0.9001228,1.7574901143224038
0,0.9178755,1.7354476487819257
0,0.5936184,1.8754172139096383
1,0.7554106,1.8445917556797113
0,0.57159567,1.8768796512859693
1,0.7537143,1.8465143680000728
2,0.83074987,1.8369609713554382
3,0.81867105,1.8251259037000194
4,0.8458411,1.8247572641033518
5,0.87146115,1.8237111642067685
6,0.8606399,1.8078026825533355
7,0.8590021,1.8029666850861958
8,0.85549253,1.8066973624124278
9,0.8829551,1.7991055469540727
10,0.8745906,1.7930117586000474
11,0.89310366,1.7907848988542447
12,0.8967887,1.7741424323311135
13,0.90243334,1.804327679711717
14,0.8968472,1.7723665422050454
15,0.9084581,1.7538839709963763
16,0.9079024,1.741675453726856
17,0.91726136,1.7232705827995918
18,0.91702735,1.7355011811029382
19,0.9307148,1.7062406202607818
20,0.933464,1.7323853517056669
21,0.9169104,1.7138318888885333
22,0.93896234,1.693231642160828
23,0.9426474,1.6926097221599319
24,0.9459523,1.6719440285392395
25,0.9404247,1.6814859723812818
26,0.94656646,1.657756429782652
27,0.94992983,1.6487522346409282
28,0.9505732,1.6326701731670445
29,0.95259124,1.6340086659907849
30,0.95636404,1.6162384901074747
31,0.95045626,1.633861972019553
32,0.9572122,1.6042928197856636
33,0.95773864,1.6012487396700195
34,0.9608095,1.5755847958711022
35,0.95800185,1.6078507331457381
36,0.9559546,1.6236195018244426
37,0.9602831,1.5833779574076552
38,0.95981514,1.5821467705460177
39,0.96075106,1.5814187188068398
40,0.9607218,1.594689371748033
41,0.9638512,1.5635822885231576
42,0.9646993,1.5866213097354596
43,0.9670976,1.5564337790620761
44,0.96493334,1.5668947119080026
45,0.96578145,1.548214086052074
46,0.9664249,1.5472465198294743
47,0.96934956,1.534467983123014
48,0.96841365,1.554719572466549
49,0.965138,1.5707331315861035
0,0.72856224,0.9588025697429826
1,0.79755497,0.94756797538651
2,0.8148397,0.9448577519096556
3,0.8139331,0.9438910925038295
4,0.82589495,0.941391274190055
0,0.73648804,1.8768240824014046
1,0.7958587,1.8424409568853672
2,0.7963851,1.8350058797368616
3,0.8741226,1.83427710096218
4,0.83256316,1.8227428546455149
0,0.8129094,1.8931509130640904
1,0.7707066,1.8665888521107323
2,0.7715255,1.8455554741283526
3,0.83007723,1.8446139012213674
4,0.83633596,1.8395976814492372
0,0.5030124,1.9064499416053435
1,0.59203905,1.8859905425178485
2,0.8128217,1.8681688683441324
3,0.7237658,1.8611998753216872
4,0.8605229,1.869361233797707
0,0.6930276,1.9051680714449817
1,0.760558,1.8746301803038843
2,0.7693905,1.8824893901169049
3,0.7504387,1.8617995219374015
4,0.8262459,1.8596586893991622
5,0.836219,1.854438973835656
6,0.86450046,1.8581691626834156
7,0.8111254,1.8487917541425587
8,0.7941331,1.842317831944404
9,0.71189165,1.8542755521941978
10,0.80951685,1.8346004537091
11,0.8289366,1.8476182223342543
12,0.7748596,1.830213848576403
13,0.8590606,1.860443640418375
14,0.9207125,1.9018123336397825
0,0.6026263,1.884577416919022
1,0.776088,1.8494764074829622
2,0.82618743,1.8339927604558817
3,0.84841484,1.8241459530301891
4,0.9255089,1.8622451999804783
5,0.85783225,1.8402430552014777
6,0.8305159,1.830280010108642
7,0.90895534,1.840713055394712
8,0.8837447,1.8581043142941618
9,0.88149273,1.8347454344000447
10,0.8636523,1.8052132922317528
11,0.877252,1.807898570156417
12,0.78705543,1.8236268749081426
13,0.82978475,1.827332555582235
14,0.7973502,1.8223786495127408
0,0.7462857,1.8780513621193815
1,0.8490583,1.8584498001849143
2,0.7652667,1.8490506688609656
3,0.7863828,1.8353565332763486
4,0.7921736,1.8329399081734112
5,0.82144946,1.824903409664855
6,0.7625468,1.8226129155349775
7,0.7957417,1.8205524947760983
8,0.82770824,1.8181620549600594
9,0.8497602,1.81209871999895
10,0.8690337,1.8344136151961483
11,0.89240175,1.8246864455198162
12,0.9339904,1.846889575246992
13,0.8374766,1.8162648422945564
14,0.95104116,1.8874520400384789
0,0.5788781,1.3740262904395748
1,0.568788,1.3017423521233988
2,0.5741694,1.2824152623837972
3,0.57025033,1.26138871923354
4,0.5818905,1.2467458541298029
5,0.569139,1.2457934844494563
6,0.6176006,1.2240960480881506
7,0.5924778,1.197146158050057
8,0.60268486,1.171358106508816
9,0.62394714,1.1569925047471163
10,0.6344467,1.1404853551554859
11,0.65354466,1.1127385487592578
12,0.65301824,1.0887611041357153
13,0.6579024,1.0613589893815587
14,0.6770297,1.0219638642755189
0,0.5314109,1.3663685315357896
1,0.5589027,1.2979069811962702
2,0.58437645,1.2552324612326415
3,0.6000234,1.226725728255834
4,0.60271406,1.1928256562482575
5,0.62397635,1.155141017571001
6,0.633189,1.11584730347323
7,0.642314,1.0842041826633075
8,0.6620262,1.034854676487307
9,0.70133364,0.9778523978401998
10,0.71145296,0.9286148392045797
11,0.7333587,0.8761931783704904
12,0.7522227,0.823459256324476
13,0.76591015,0.7909275318539946
14,0.77035564,0.7678718532927624
0,0.5476135,1.3636689100451123
1,0.5660973,1.2905060425086952
2,0.5460634,1.268490548786447
3,0.56925595,1.248543197082536
4,0.5733505,1.2071951247375174
5,0.6043227,1.1937746424079778
6,0.60885584,1.1497998964695184
7,0.6258774,1.1066206549361843
8,0.6334815,1.0646625608554443
9,0.6426942,1.0316879173752076
10,0.68282056,0.9685046806666524
11,0.7040243,0.9161379364104292
12,0.7252866,0.8510470555203579
13,0.7398807,0.8043473116943685
14,0.7530124,0.7561381519473583
0,0.032200515,9.382452726224678
1,0.017050773,5.2900075646248945
2,0.017109266,5.156012607306925
3,0.01801591,5.026671072911815
4,0.021262284,4.959468663394256
5,0.02991928,4.909149417014785
6,0.03515442,4.670187634441637
7,0.060481984,4.5624211629278255
8,0.07607043,4.466685874053793
9,0.10552176,4.262802497298571
10,0.14509241,3.979339552793092
11,0.16430745,3.862232781092475
12,0.2160447,3.56947449759646
13,0.2637459,3.356685795374546
14,0.2948058,3.358287287500343
0,0.62349004,2.5770575376856506
1,0.7411634,1.7165972655264972
2,0.8401517,1.0880838983155492
3,0.897947,0.709261980021915
4,0.9220173,0.5452633960847542
5,0.94805115,0.36802704371589523
6,0.955906,0.30878567492491815
7,0.65650105,9.41632383236508
8,0.7053258,3.572995567970849
9,0.78095806,1.9807258137313073
10,0.8442279,1.2228844861292973
11,0.8870277,1.0106328723742135
12,0.9095656,0.7265914080942166
13,0.93906575,0.4752446024960455
14,0.9562035,0.33049551506377967
0,0.5610962,1.3700624245419841
1,0.6076568,1.2845202900301953
2,0.6215489,1.2616708162190566
3,0.6136231,1.2289242055293244
4,0.62935776,1.1893232863868823
0,0.80188346,1.8815816022982148
1,0.74494034,1.8551863170759277
2,0.75535214,1.8361762160305448
3,0.758306,1.8355237824243533
4,0.83034045,1.8260308535271452
5,0.8738009,1.8364568869746736
6,0.8478007,1.8118690099178434
7,0.78687996,1.830868435923357
8,0.69212097,1.8433794394435312
9,0.7441799,1.830525778060772
10,0.58937764,1.8473840851369838
11,0.7998655,1.879123136501395
12,0.77632195,1.8598200645006646
13,0.784745,1.8248042931373174
14,0.7388863,1.8449004944108836
0,0.5317911,1.3764733382678083
1,0.57086456,1.3180961806883196
2,0.5525269,1.289942391739725
3,0.5656586,1.2672881687345017
4,0.54697007,1.2378229080713765
5,0.5852831,1.2166481064680474
6,0.59534395,1.187924365860366
7,0.5913664,1.167391031811421
8,0.62853885,1.1265628857518057
9,0.642314,1.0896188474295572
10,0.6425187,1.0537904862194178
11,0.6546853,1.0290605800664754
12,0.685131,0.9785855159121637
13,0.70270824,0.9412122086748641
14,0.73590314,0.8925931811590702
0,0.5839085,1.371746920791808
1,0.57452035,1.2974655121132543
2,0.5765676,1.2748018692608856
3,0.58826625,1.2403637965322656
4,0.59171736,1.2232052396702247
5,0.61520237,1.1789208875187212
6,0.64105636,1.1405616855692462
7,0.6429282,1.0960015849614317
8,0.6860962,1.045408866159482
9,0.70671505,0.9796823143495346
10,0.724263,0.9220068101005461
11,0.7413722,0.8755449031827868
12,0.7470461,0.8293107065180849
13,0.765062,0.7723406928159544
14,0.77047265,0.7259498325869037
